PC01	AC001	Kalka
PC01	AC002	Panchkula
PC01	AC003	Naraingarh
PC01	AC004	Ambala Cantt.
PC01	AC005	Ambala City
PC01	AC006	Mulana  (SC)
PC01	AC007	Sadhaura (SC)
PC01	AC008	Jagadhri
PC02	AC009	Yamunanagar
PC02	AC010	Radaur
PC02	AC011	Ladwa
PC02	AC012	Shahbad (SC)
PC02	AC013	Thanesar
PC02	AC014	Pehowa
PC02	AC015	Guhla (SC)
PC02	AC016	Kalayat
PC02	AC017	Kaithal
PC02	AC018	Pundri
PC03	AC019	Nilokheri (SC)
PC03	AC020	Indri
PC03	AC021	Karnal
PC03	AC022	Gharaunda
PC03	AC023	Assandh
PC03	AC024	Panipat Rural
PC03	AC025	Panipat City
PC03	AC026	Israna (SC)
PC03	AC027	Samalkha
PC04	AC028	Ganaur
PC04	AC029	Rai
PC04	AC030	Kharkhauda (SC)
PC04	AC031	Sonipat
PC04	AC032	Gohana
PC04	AC033	Baroda
PC04	AC034	Julana
PC04	AC035	Safidon
PC04	AC036	Jind
PC09	AC037	Uchana Kalan
PC10	AC038	Narwana (SC)
PC10	AC039	Tohana
PC10	AC040	Fatehabad
PC10	AC041	Ratia (SC)
PC10	AC042	Kalawali (SC)
PC10	AC043	Dabwali
PC10	AC044	Rania
PC10	AC045	Sirsa
PC10	AC046	Ellenabad
PC09	AC047	Adampur
PC09	AC048	Uklana (SC)
PC09	AC049	Narnaund
PC09	AC050	Hansi
PC09	AC051	Barwala
PC09	AC052	Hisar
PC09	AC053	Nalwa
PC07	AC054	Loharu
PC07	AC055	Badhra
PC07	AC056	Dadri
PC07	AC057	Bhiwani
PC07	AC058	Tosham
PC09	AC059	Bawani Khera (SC)
PC05	AC060	Meham
PC05	AC061	Garhi Sampla-Kiloi
PC05	AC062	Rohtak
PC05	AC063	Kalanaur (SC)
PC05	AC064	Bahadurgarh
PC05	AC065	Badli
PC05	AC066	Jhajjar (SC)
PC05	AC067	Beri
PC07	AC068	Ateli
PC07	AC069	Mahendragarh
PC07	AC070	Narnaul
PC07	AC071	Nangal Chaudhry
PC08	AC072	Bawal (SC)
PC05	AC073	Kosli
PC08	AC074	Rewari
PC08	AC075	Pataudi (SC)
PC08	AC076	Badshahpur
PC08	AC077	Gurgaon
PC08	AC078	Sohna
PC06	AC085	Prithla
PC06	AC086	Faridabad Nit
PC06	AC087	Badkhal
PC06	AC088	Ballabhgarh
PC06	AC089	Faridabad
PC06	AC090	Tigaon
PC08	AC079	Nuh
PC08	AC080	Ferozepur Jhirka
PC08	AC081	Punahana
PC06	AC082	Hathin
PC06	AC083	Hodal (SC)
PC06	AC084	Palwal
